"id","autor_id","comrcl_id","team_id","name","lastname","phone","email","gender","city","address","birth_at","source","type_prospect","raison_sociale","code_post","gsm","assure","last_assure","motif_resil","motif_saise","creat_at"
"11","1",NULL,"2","Fatima","Moukop","06604058241","fatimato@gmail.com","0","Sale","Rue tijarine Echo Markite Boulevard Tanger, Morocco","1970-05-01 00:00:00","Saisie manuelle",NULL,NULL,"11130",NULL,NULL,NULL,NULL,"3","2023-09-11 15:28:06"
"12","7",NULL,"1","Samih","Mouhajr","06521489","kh@gmai.com","1","Saklm","lkjn kjlk","1980-02-01 00:00:00","Saisie manuelle","Particuliers",NULL,"15489",NULL,"Oui",NULL,NULL,"3","2023-09-11 21:31:36"
"13","1",NULL,"1","Fatimads","Mouhajer","066152485","khadossj@gmail.com","0","Sale","DR Chouikrat Caidat Ain Defali Jorf El Melha","1960-05-01 00:00:00","Saisie manuelle","Particuliers",NULL,"11130",NULL,"Oui",NULL,NULL,"2","2023-09-11 21:36:19"
"14","1",NULL,"1","Salamo","Alayka","062222452","hjh@gmai.com","1","ddd","daz dzdz ddz","2015-01-01 00:00:00","Saisie manuelle",NULL,NULL,"15987",NULL,NULL,"Non",NULL,"2","2023-09-18 17:36:23"
"15",NULL,NULL,"1","Habibi","Nabi","061171111","jg@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 17:37:46"
"16",NULL,NULL,"2","Esss","Sss","06512489","dd@ghg.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 17:50:54"
"17",NULL,NULL,"2","Badrman","Badr","0625148552","jhd@jhd.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 18:32:15"
"18",NULL,"5","1","Uma","Boyer","+1 (738) 839-7712","figoguj@mailinator.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 18:35:47"
"19","1","5","1","Courtney","Austin","+1 (993) 403-9698","xokaz@mailinator.com","1","Eum asperiores volup","Eos eligendi deserun","1990-03-20 00:00:00","Revendeur","Particuliers",NULL,"98160","+1 (175) 849-4383","Non","Non",NULL,NULL,"2023-09-18 19:37:02"
"20","1","4","1","Courtney","Austin","+1 (993) 403-9698","xokaz@mailinator.com","1","Eum asperiores volup","Eos eligendi deserun","1990-03-20 00:00:00","Revendeur","Particuliers",NULL,"98160","+1 (175) 849-4383","Non","Non",NULL,NULL,"2023-09-18 19:37:08"
"21",NULL,NULL,"2","Phillips","Perry","+1 (536) 477-6468","logovof@mailinator.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 19:41:24"
"22","1",NULL,"2","Eden","Becker","+1 (617) 256-8561","vaqed@mailinator.com","0","Sit fugit voluptat","Sit exercitation a s","1983-01-20 00:00:00","Saisie manuelle","Particuliers",NULL,"11159","+1 (408) 845-1331","Oui","Non",NULL,"1","2023-09-18 19:47:23"
"23","1",NULL,"2","Eden","Becker","+1 (617) 256-8561","vaqed@mailinator.com","0","Sit fugit voluptat","Sit exercitation a s","1983-01-20 00:00:00","Saisie manuelle","Particuliers",NULL,"11159","+1 (408) 845-1331","Oui","Non",NULL,"1","2023-09-18 19:47:29"
"24","1",NULL,"2","Hamsa","Hassan","+1 (455) 335-3465","sosoqaa@mailinator.com","1","Consequatur impedit ","Elit labore deserunt","2000-08-15 00:00:00","Propre site","Professionnels",NULL,"98741","+1 (669) 343-2332","Oui","Non",NULL,"1","2023-09-18 20:53:10"
"25","1","6","1","Glen","Moody","+1 (952) 376-3133","nahoxon@mailinator.com","0","Rerum ut qui aut au","A sit ipsum velit","2000-03-21 00:00:00","Saisie manuelle","Particuliers",NULL,"10159","+1 (857) 106-5251","Oui","Non",NULL,"2","2023-09-18 21:54:34"
"26","1",NULL,"2","Alaeddin","Aladdin","+1 (315) 712-8657","doylenedoge@mailinator.com","0","Optio quaerat dolorem","Itaque et voluptas q","1993-09-28 00:00:00","Revendeur","Particuliers",NULL,"78464","+1 (276) 361-1573","Non","Oui","1",NULL,"2023-09-19 15:11:51"
"27","1",NULL,"2","Brahim","Kassam","+1 (617) 107-9448","kaewir@mailinator.com","0","Provident dolorum v","Reiciendis ipsum of","1975-01-14 00:00:00","Propre site","Particuliers",NULL,"95146","+1 (109) 351-8874","Oui","Non",NULL,"2","2023-09-19 16:15:23"
"28","1",NULL,"1","Brahim","Kassam","+1 (617) 107-9448","kaewir@mailinator.com","0","Provident dolorum v","Reiciendis ipsum of","1975-01-14 00:00:00","Propre site","Particuliers",NULL,"95146","+1 (109) 351-8874","Oui","Non",NULL,"2","2023-09-19 16:15:29"
"29","1","7","1","Brahim","Kassam","+1 (617) 107-9448","kaewir@mailinator.com","0","Provident dolorum v","Reiciendis ipsum of","1975-01-14 00:00:00","Propre site","Particuliers",NULL,"95146","+1 (109) 351-8874","Oui","Non",NULL,"2","2023-09-19 16:15:35"
"30","1",NULL,"2","Rugiero","Romanelli","0635806039","romanelli.rugiero@yahoo.com",NULL,"Marrakech","avenue IBN SINA","1984-11-19 00:00:00","Propre site","Professionnels","EPCF","40000","0613499421","Oui","Oui",NULL,"Problème de tarif","2023-09-21 12:03:17"
"31","2","1",NULL,"2","2","test","test","+33625148596","lkqsj@jqhs.com","1","lkdf","mkdjf mljf","2020-02-01 00:00:00","1","1",NULL,"14589",NULL,"Oui","Oui","2","1","2024-06-15 15:28:55"
"32","3","1",NULL,NULL,"1","test2","testets","+33625148596","gh@gmail.com","1","salee","kjs oiys kjg","2020-02-01 00:00:00","1","1",NULL,"15489",NULL,"Oui","Oui","2","2","2024-06-15 23:28:20"
"33","4","1",NULL,"3","1","test26","testtest","+33625148596","hom@gmail.com",NULL,"hom","homjd",NULL,"1","1",NULL,"14582",NULL,"Oui","Oui",NULL,"1","2024-06-15 23:28:47"
"34","5","1","5","2","1","badr","bechtioui","+33611112224","badr@ghk.com",NULL,"kgk","kjkj kjh",NULL,"1","1",NULL,"14589",NULL,"Oui","Oui","3","2","2024-06-15 23:29:18"
